entry,pdb_code
P46114,1HP2
P50985,1AKG
P55927,2PTA
P56219,1TSK 6ATL
P56639,null
P56640,1DG2 1MXN 1MXP
P56641,null
P56708,null
P56712,null
P56713,null
P56714,1F3K
P56973,1B45
P58328,1SN4
P58425,null
P58426,1EMX
P58427,null
P58498,1N8M
P58916,null
P58917,null
P58925,1R9I
P59847,1HLY
P59869,2KY3 2LU9 2ME7 2MEL 2MEN 2MEO 6D3T 6D8H 6D8Q 6D8R 6D8S 6D8T 6D8U 6D8Y 6D93 6D9O 6D9P 6VNZ
P59938,6AU7 6AUP
P60208,6GGZ
P60210,null
P60211,2JP6
P60992,2N6O
P61230,1V7F
P61409,null
P68411,null
P68424,1Y29
P69658,1ZLC
P69746,null
P69939,null
P69940,null
P81792,8BWB
P83243,1JLZ
P84509,null
P84510,5WE3
P84744,null
P85117,null
P85505,null
P85528,null
P86110,null
P86193,null
P86194,null
P86396,null
Q0EAE5,7OD2
Q1A3R1,null
Q26443,1RMK
Q2I2R8,null
Q5K0E0,null
Q6WJF5,null
Q75WH2,null
Q867F4,null
Q95NJ8,1S8K
Q95NK7,1PVZ
Q9NII6,1BIG 6AVC
Q9NJP7,1DU9
Q9U8D1,1WM8
Q9U8D2,1WM7
Q9XZK2,1FYG
R4GUQ3,2LIX
X5IWT5,null
A0A330KW27,6CKD 6CKF
A0A384E0Y8,5XA6
A0A3G3C7T5,null
A0A3G3C7U2,null
A0A3G3C7U7,null
A0A3G3C7V7,null
A7KJJ7,null
B2ZBB6,null
B2ZBB9,null
B2ZBC0,null
B3A0L5,2LI3
B3EWN0,null
B3EWN1,null
B3EWN2,null
B3EWX9,null
B8XGZ8,null
C0HJA8,null
C0HJQ5,null
C0HJS9,null
C0HJW1,null
C0HJW2,null
C0HJW3,null
C0HJW5,null
C0HJW6,null
C0HL52,null
C1J5M5,null
C1J5M7,2LU6
C6ZH27,null
C6ZJQ2,null
C9X4K6,null
D2Y1Y4,null
D2Y1Y5,null
D2Y1Y6,null
D2Y1Y7,null
D2Y1Y8,null
D2Y1Y9,null
D2Y1Z0,null
D2Y1Z1,null
D2Y1Z2,null
D2Y1Z3,null
D2Y1Z5,null
D2Y1Z6,null
D2Y1Z9,null
D2Y200,null
D2Y201,null
D2Y202,null
D2Y203,null
D2Y234,null
D2Y235,null
D2Y2C2,null
D2Y2F3,null
D2Y2F4,null
D2Y2F5,null
D2Y2F6,null
D2Y2F7,null
D2Y2F8,null
D2Y2F9,null
D2Y2G0,null
D2Y2G1,null
D2Y2G2,null
D2Y2I5,null
D2Y2I6,null
D2Y2Q1,null
D2Y2Q2,null
D2Y2Q5,null
D2Y2Q6,null
D2Y2Q7,null
D2Y2Q8,null
D2Y2Q9,null
D4HPD6,null
D9U2A2,null
D9U2A4,null
G4V3T9,null
H2BKS9,null
L8BU87,2MDQ 5XGL 6M4X 6M4Z
P01437,null
P01488,null
P01524,1GIB
P05482,6MJD
P05483,null
P05485,null
P0C161,null
P0C163,null
P0C168,null
P0C176,null
P0C182,null
P0C1U0,null
P0C1W9,null
P0C1X0,null
P0C1X5,null
P0C1X6,null
P0C1Z3,1WQC 1WQD
P0C1Z4,1WQE
P0C2F3,null
P0C2P5,null
P0C351,null
P0C615,null
P0C7I1,null
P0C831,null
P0C893,null
P0C8V2,null
P0C8V8,null
P0C8V9,null
P0C8X5,null
P0C8X6,null
P0C8X9,null
P0C909,null
P0CB56,null
P0CH12,null
P0CH16,null
P0CH42,null
P0CI43,null
P0CI44,null
P0CI45,null
P0CJ35,null
P0CY60,null
P0DJ32,null
P0DJL0,null
P0DJO5,null
P0DKQ4,null
P0DKQ5,null
P0DKQ6,null
P0DKQ9,null
P0DL33,null
P0DL43,null
P0DL47,null
P0DL48,null
P0DL65,2RTZ
P0DL81,null
P0DMR8,null
P0DMR9,null
P0DMX7,null
P0DMX8,null
P0DMY0,null
P0DMY1,null
P0DMY2,null
P0DMY4,null
P0DMY5,null
P0DMY6,null
P0DMY7,null
P0DMY8,null
P0DP36,null
P0DPM4,null
P0DPT2,null
P0DPT4,null
P0DQD4,null
P0DQR1,null
P0DQU0,null
P0DTB8,null
P0DUK7,null
P0DUK8,null
P0DW83,null
P0DW84,null
P11494,1BDS 2BDS
P15472,1AG7
P22947,null
P24541,null
P24662,1KTX 1XSW 2KTX 2UVS 3ODV
P24663,null
P28878,null
P29426,null
P45629,null
P45660,null
P46110,null
P46111,1AGT
P55928,1C49
P56215,1ACW
P56608,null
P56854,null
P58504,null
P58914,null
P58915,null
P58918,null
P58919,null
P58926,null
P58927,null
P58930,null
P59084,null
P59870,null
P59925,null
P59939,null
P59940,null
P60207,1Q2J
P60209,2KTC
P60233,null
P60273,1LUP
P60979,null
P61789,null
P61790,null
P61791,null
P61792,null
P63019,1PE4
P81658,1BF0 5YV7 6KZF
P83112,null
P83244,null
P83745,null
P83746,null
P83747,null
P83892,null
P83909,null
P83910,null
P83996,null
P84630,null
P84756,null
P84835,2WH9
P84836,null
P84837,null
P84864,null
P85506,null
P85529,null
P86105,null
P86115,null
P86270,null
P86271,2LO7
P86398,null
P86399,8F2F
P86418,null
P86465,null
P86467,null
Q0GY41,null
Q0GY42,7LGL
Q0GY43,null
Q0GY44,null
Q26350,null
Q5G8A6,null
Q5K0C4,null
Q86BX0,6AY8
Q86RB2,1UL2 5CO5
Q8I6R5,null
Q8MUB1,null
Q95P69,null
Q95WD3,null
Q967F9,null
Q9BJX2,null
Q9BN12,null
Q9BP55,null
Q9BP56,null
Q9GNG8,null
Q9N633,null
Q9N682,null
Q9TWG1,null
Q9TXD1,null
Q9XZK8,null
Q9XZK9,null
Q9XZL1,null
Q9XZL3,null
Q9XZL4,null
Q9XZL5,null
A0A059UI30,null
A6YR23,null
A6YR24,null
A6YR26,null
A6YR28,null
A6YR29,null
A6YR30,null
A6YR31,null
A6YR33,null
A6YR34,null
A6YR36,null
A6YR37,null
A6YR40,null
A6YR41,null
A6YR42,null
A7LI90,null
A7LI91,null
A7LI92,null
A9UH01,null
B2KTG2,null
B2KTG3,null
B3EWY0,null
B5KF99,null
B8XH30,null
B8XH45,null
B8XH47,null
D2Y2C4,null
D2Y2F2,null
D2Y2R1,null
D2Y2R3,null
D2Y2R4,null
D9U2A8,null
E4VP04,null
E4VP41,null
F1CIY9,null
F1CJ67,null
F1CJ80,null
H2ER22,null
H2ER23,null
H2ETQ6,null
K7XFK5,null
M1J7U4,null
M1JB54,null
M1JMR8,null
O76198,null
P0C167,null
P0C1T9,null
P0C1U1,null
P0C1U2,null
P0C832,null
P0C8V3,null
P0C8X7,null
P0C8X8,null
P0CB10,null
P0CB11,null
P0CH75,null
P0CI04,null
P0CI41,null
P0CY69,null
P0DL31,null
P0DQT7,null
P0DQT8,null
P0DQU1,null
P15230,null
P45661,null
P58490,1QKY
P58570,null
P69761,null
P81789,null
P86106,null
P86466,null
Q0GY45,null
Q0GY46,null
Q3YED6,null
Q3YEF3,null
Q5K0B9,null
Q5K0C0,null
Q5K0D2,null
Q5K0D3,null
Q5K0D5,null
Q5K0D6,null
Q5K0D8,null
Q86QT8,null
Q86QT9,null
Q86QU0,null
Q86QU1,null
Q86QU2,null
Q86QU3,null
Q86QU4,null
Q86QU5,null
Q86QU6,null
Q86QU7,null
Q86QU8,null
Q86QU9,null
Q86QV0,null
Q86QV1,null
Q86QV2,null
Q86QV3,null
Q86QV4,null
Q86QV5,null
Q86QV6,null
Q86QV7,null
Q86QV8,null
Q86QV9,null
Q95P89,null
Q9BH84,null
Q9BN11,null
Q9BP99,null
Q9BPA5,null
Q9N661,null
Q9U644,null
Q9U645,null
Q9U647,null
Q9U648,null
Q9U650,null
Q9U651,null
Q9U654,null
Q9U657,null
Q9XYZ0,null
Q9XYZ1,null
Q9XZK3,null
Q9XZK4,null
Q9XZL0,null
Q9XZL2,null
A0A068B6Q6,2NAY
A0S864,2H7Z
A0S865,2H7Z
B1NWR6,null
B1P1D9,null
B1P1E0,null
B1P1E1,null
B1P1E2,null
B1P1E3,null
B2KPN7,2JQB 2JQC 2YYF
C0HK69,6VXW
D2Y1X9,2JTB
D2Y1Y0,null
D2Y1Y1,null
D2Y1Y2,null
D2Y1Y3,null
D2Y1Z4,null
D2Y1Z7,null
D2Y1Z8,null
D2Y2D1,null
D2Y2D2,null
D2Y2D3,null
D2Y2I3,null
P01531,1APF
P08900,2LI7 2LJM
P0C247,2A2V 3J5Q
P0C248,null
P0C250,2M6G 2M6H
P0C828,null
P0C829,null
P0CH90,null
P0DL39,7N0W 7N0Y
P28879,6OTB 6OVJ
P58786,1DG0 1QFB
P58913,null
P59868,1IE6 8DTB 8DUJ
P60254,1C6W
P60513,1G1P 1G1Z
P68425,2JOT
P83303,1MB6 2M4X 2M4Z 2M50 5T3M 5TLR 6W6O 7K48
Q0N4U8,2FQC
Q5EHP3,2EFZ
Q9BH73,null
Q9NP86,null
Q9U655,null
X5I9Y2,1NOT 1QS3 1XGA 1XGB 1XGC 2FR9 2FRB
A0A068B0Z6,null
A0A1P8NVR5,null
A0A1P8NVT3,null
A0A1P8NVU0,null
A0A2I6EDN5,null
A0A2L2P6T1,null
A0A3G6IHA6,null
A7SCE5,null
B1B5I8,null
B1B5I9,null
B1NWS1,null
B1NWS8,null
B1P1A4,null
B1P1A6,null
B1P1B8,null
B1P1B9,null
B1P1D7,null
B1P1E5,null
B1P1E6,null
B1P1E7,null
B1P1F3,null
B1P1F4,null
B1P1G0,null
B1P1G1,null
B1P1G2,null
B1P1G3,null
B1P1G8,null
B8QG00,null
C0HJN0,null
C0HLM2,null
C0HLN4,null
C0HLS4,null
C0HM68,null
D3JXM1,null
O16846,null
P01476,null
P01491,1B3C 2B3C
P01534,null
P0C1N1,null
P0C1N6,null
P0C1N7,null
P0C1N8,null
P0C1X1,null
P0C280,2H9X
P0C2C5,null
P0C2X7,1ZJQ 2AAP
P0C5G6,null
P0C5X7,null
P0C7W7,null
P0C837,null
P0C8R1,null
P0C8R2,null
P0C8S5,null
P0CC12,null
P0CC13,null
P0CC15,null
P0CH56,null
P0DJ45,null
P0DJ46,2M01
P0DKP9,null
P0DKQ2,null
P0DL36,2MUN 2MZ4
P0DL57,null
P0DL58,null
P0DL62,null
P0DM12,5T4R
P0DMM8,null
P0DQH7,null
P0DQH8,null
P0DQO1,null
P0DQV4,null
P0DQY7,null
P0DUR0,null
P0DV31,null
P0DV32,null
P0DV95,null
P0DV96,null
P0DW95,null
P10454,null
P15471,1HJE 1QMW
P18511,1FU3
P19651,1SH1 1SHI 2SH1
P24160,null
P25660,1JC6
P55963,1P1P
P56529,1AS5 1JLO
P56612,null
P56711,null
P56852,1D1H
P58782,1PQR
P58787,1DFY 1DFZ
P58846,null
P58923,1EYO
P59290,null
P60179,1YZ2
P60215,null
P60245,1JLP
P60616,1HC9 2QC1 4HQP 4UY2 5HBT 5HBV 7KOO
P60980,1S6X 2N1N
P60993,null
P61408,null
P62520,2I1T
P69928,null
P69930,null
P80670,null
P83405,null
P83406,null
P84713,null
P86261,null
P86459,null
Q2I2Q5,null
Q2I2R5,null
Q3C258,6UX5
Q4LCS9,null
Q4LCT0,null
Q5G8B6,6ATN
Q5K0C7,null
Q7M425,null
Q9XZK5,null
W4VSA0,5L34
X1WB75,2MD6
A0A1L1QJU3,2N8F
A0A218QX08,null
A0A2D1P890,null
A0A2I6EDM8,null
A0A3G3C7R5,null
A0A3G3C7S2,null
A0A3G3C7S6,null
A0A3G3C7T9,null
A0A3G3C7V6,null
A0A7S8MVN3,null
A0SE59,null
A0SE60,null
A1X8B6,null
A1X8B8,null
A1X8C2,null
A1X8C3,null
A6M934,null
B1P1A0,null
B1P1A2,null
B1P1A5,null
B1P1A7,null
B1P1A8,null
B1P1B0,null
B1P1B1,null
B1P1B2,null
B1P1B3,null
B1P1B4,null
B1P1B6,null
B1P1C0,null
B1P1C1,null
B1P1C2,null
B1P1C4,null
B1P1C6,null
B1P1C7,null
B1P1C8,null
B1P1C9,null
B1P1D0,null
B1P1D2,null
B1P1D3,null
B1P1D4,null
B1P1D8,null
B1P1E4,null
B1P1E8,null
B1P1E9,null
B1P1F0,null
B1P1F1,null
B1P1F2,null
B1P1F6,null
B1P1F8,null
B1P1F9,null
B1P1G4,null
B1P1G5,null
B1P1G6,null
B1P1G7,null
B1P1G9,null
B1P1H0,null
B1P1H1,null
B1P1H2,null
B1P1H3,null
B1P1H4,null
B1P1H5,null
B1P1H6,null
B1P1H7,null
B1P1H8,null
B1P1I1,null
B1P1I2,null
B1P1I3,null
B1P1I4,null
B1P1I5,null
B1P1I6,null
B2ZBB8,null
B3EWQ0,null
B3EWT2,null
B3EWT3,null
B3FIS6,6AV8
B3FIU2,null
B3SVF0,null
B3SVF1,null
B8XH33,null
B8XH38,null
C0HJB1,null
C0HJT0,null
C0HK75,null
C0HKD0,null
C0HL53,null
C0HL54,null
C0HLK1,null
C0HLL9,null
D2DGD3,null
D2KX90,null
D2KX91,null
D2KX92,null
D2Y236,null
D2Y239,null
D2Y241,null
D2Y242,null
D2Y243,null
D2Y245,null
D2Y248,null
D2Y249,null
D2Y250,null
D2Y251,null
D2Y253,null
D2Y254,null
D2Y255,null
D2Y256,null
D2Y257,null
D2Y258,null
D2Y259,null
D2Y260,null
D2Y261,null
D2Y262,null
D2Y263,null
D2Y264,null
D2Y265,null
D2Y266,null
D2Y267,null
D2Y268,null
D2Y269,null
D2Y270,null
D2Y274,null
D2Y278,null
D2Y284,null
D2Y285,null
D2Y292,null
D2Y293,null
D2Y294,null
D2Y295,null
D2Y296,null
D2Y297,null
D2Y298,null
D2Y299,null
D2Y2B6,null
D2Y2B7,null
D2Y2B8,null
D2Y2B9,null
D2Y2C3,null
D2Y2C5,null
D2Y2C6,null
D2Y2C7,null
D2Y2C8,null
D2Y2C9,null
D2Y2D0,null
D2Y2D8,null
D2Y2D9,null
D2Y2E8,null
D2Y2E9,null
D2Y2F0,null
D2Y2G3,null
D2Y2G4,null
D2Y2G5,null
D2Y2G6,null
D2Y2G7,null
D2Y2H0,null
D2Y2H9,null
D2Y2I0,null
D2Y2I1,null
D2Y2I2,null
D2Y2L7,null
D2Y2M1,null
D2Y2M4,null
D2Y2M5,null
D2Y2M6,null
D2Y2M8,null
D2Y2N0,null
D2Y2N1,null
D2Y2N4,null
D2Y2P2,null
D2Y2P3,null
D2Y2P6,null
D2Y492,null
D4HRK7,null
D9IWN6,null
D9IWN7,null
E2S061,null
E2S062,null
E2S063,null
E2S064,null
E2S065,null
E2S066,null
F2XFS9,null
G0W2H8,null
G0W2I0,null
H1ZZH7,null
H2BK78,null
H2BKJ0,null
M4GX67,null
P01477,null
P01520,null
P01529,null
P01530,1AHL
P01532,null
P01533,1ATX
P08380,null
P09949,null
P0C183,null
P0C185,null
P0C1B5,null
P0C1B6,null
P0C1B7,null
P0C1F0,null
P0C1V8,null
P0C1W0,null
P0C1W1,null
P0C1W2,null
P0C1Y2,null
P0C292,null
P0C293,null
P0C294,null
P0C2C6,null
P0C2P6,null
P0C2U8,null
P0C5F4,null
P0C5G5,null
P0C7P9,null
P0C7Q0,null
P0C8U4,null
P0C8V1,null
P0C8V4,null
P0C8V5,null
P0C8V6,null
P0CAQ5,null
P0CAQ6,null
P0CAQ8,null
P0CB07,null
P0CB08,null
P0CC14,null
P0CF37,null
P0CF39,null
P0CH13,null
P0CH14,null
P0CH50,null
P0CH52,null
P0CH54,null
P0CH57,2KFE
P0CI05,null
P0CJ21,null
P0CY86,null
P0CY88,null
P0DJ34,null
P0DJ35,null
P0DJ47,null
P0DJ48,null
P0DJ49,null
P0DJ50,null
P0DJ76,null
P0DJ79,null
P0DJ80,null
P0DJ85,null
P0DKQ0,null
P0DKQ1,null
P0DKT1,null
P0DKT2,null
P0DKT3,null
P0DKT4,null
P0DKT5,null
P0DL59,null
P0DM13,null
P0DM23,null
P0DM28,null
P0DMJ1,null
P0DMX6,null
P0DMZ2,null
P0DN00,null
P0DN01,null
P0DN02,null
P0DN03,null
P0DN04,null
P0DN05,null
P0DN06,null
P0DN07,null
P0DN09,null
P0DN10,null
P0DN11,null
P0DN12,null
P0DN13,null
P0DN14,null
P0DN16,null
P0DN17,null
P0DN18,null
